LOJAS RENNER S.A.;;;
DFs Consolidadas / Balanço Patrimonial Passivo - (Reais Mil);;;
;;;
;;;
Conta;Descrição;30/09/2015;31/12/2014
2;Passivo Total;5.296.100;5.322.362
2.01;Passivo Circulante;1.886.717;2.038.184
2.01.01;Obrigações Sociais e Trabalhistas;140.826;142.015
2.01.01.01;Obrigações Sociais;20.824;17.353
2.01.01.01.01;Encargos sociais;20.824;17.353
2.01.01.02;Obrigações Trabalhistas;120.002;124.662
2.01.01.02.01;Salários a pagar;120.002;124.662
2.01.02;Fornecedores;515.248;561.480
2.01.02.01;Fornecedores Nacionais;515.248;561.480
2.01.02.02;Fornecedores Estrangeiros;;
2.01.03;Obrigações Fiscais;97.647;320.582
2.01.03.01;Obrigações Fiscais Federais;37.412;178.476
2.01.03.01.01;Imposto de Renda e Contribuição Social a Pagar;5.882;79.735
2.01.03.01.02;Outros impostos federais;31.530;98.741
2.01.03.02;Obrigações Fiscais Estaduais;56.160;139.845
2.01.03.03;Obrigações Fiscais Municipais;4.075;2.261
2.01.04;Empréstimos e Financiamentos;727.408;559.537
2.01.04.01;Empréstimos e Financiamentos;479.400;374.870
2.01.04.01.01;Em Moeda Nacional;460.446;340.127
2.01.04.01.02;Em Moeda Estrangeira;18.954;34.743
2.01.04.02;Debêntures;242.020;180.537
2.01.04.03;Financiamento por Arrendamento Financeiro;5.988;4.130
2.01.05;Outras Obrigações;379.327;430.572
2.01.05.01;Passivos com Partes Relacionadas;;
2.01.05.01.01;Débitos com Coligadas;;
2.01.05.01.03;Débitos com Controladores;;
2.01.05.01.04;Débitos com Outras Partes Relacionadas;;
2.01.05.02;Outros;379.327;430.572
2.01.05.02.01;Dividendos e JCP a Pagar;70.238;63.113
2.01.05.02.02;Dividendo Mínimo Obrigatório a Pagar;0;49.542
2.01.05.02.03;Obrigações por Pagamentos Baseados em Ações;;
2.01.05.02.04;Aluguéis a pagar;33.048;41.266
2.01.05.02.05;Outras obrigações;71.014;67.184
2.01.05.02.06;Participações estatutárias;0;11.657
2.01.05.02.07;Obrigações com Administradora de Cartões;199.962;196.988
2.01.05.02.08;Instrumentos Financeiros Derivativos;5.065;822
2.01.06;Provisões;26.261;23.998
2.01.06.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;26.261;23.998
2.01.06.01.01;Provisões Fiscais;;
2.01.06.01.02;Provisões Previdenciárias e Trabalhistas;;
2.01.06.01.03;Provisões para Benefícios a Empregados;;
