LOJAS RENNER S.A.;;;
DFs Consolidadas / Balanço Patrimonial Passivo - (Reais Mil);;;
;;;
;;;
Conta;Descrição;30/09/2019;31/12/2018
2;Passivo Total;10.542.628;8.821.048
2.01;Passivo Circulante;3.696.457;4.324.355
2.01.01;Obrigações Sociais e Trabalhistas;278.256;246.009
2.01.01.01;Obrigações Sociais;82.362;70.766
2.01.01.01.01;Encargos sociais;82.362;70.766
2.01.01.02;Obrigações Trabalhistas;195.894;175.243
2.01.01.02.01;Salários a pagar;195.894;175.243
2.01.02;Fornecedores;818.680;955.834
2.01.02.01;Fornecedores Nacionais;818.680;955.834
2.01.02.02;Fornecedores Estrangeiros;;
2.01.03;Obrigações Fiscais;248.753;550.016
2.01.03.01;Obrigações Fiscais Federais;156.687;329.640
2.01.03.01.01;Imposto de Renda e Contribuição Social a Pagar;124.675;222.638
2.01.03.01.02;Demais Obrigações Federais;32.012;107.002
2.01.03.02;Obrigações Fiscais Estaduais;87.901;215.899
2.01.03.03;Obrigações Fiscais Municipais;4.165;4.477
2.01.04;Empréstimos e Financiamentos;804.586;1.423.835
2.01.04.01;Empréstimos e Financiamentos;490.360;1.170.537
2.01.04.01.01;Em Moeda Nacional;332.637;745.309
2.01.04.01.02;Em Moeda Estrangeira;157.723;425.228
2.01.04.02;Debêntures;314.226;252.825
2.01.04.03;Financiamento por Arrendamento;0;473
2.01.05;Outras Obrigações;1.490.982;1.100.878
2.01.05.01;Passivos com Partes Relacionadas;;
2.01.05.01.01;Débitos com Coligadas;;
2.01.05.01.03;Débitos com Controladores;;
2.01.05.01.04;Débitos com Outras Partes Relacionadas;;
2.01.05.02;Outros;1.490.982;1.100.878
2.01.05.02.01;Dividendos e JCP a Pagar;167.698;234.701
2.01.05.02.02;Dividendo Mínimo Obrigatório a Pagar;;
2.01.05.02.03;Obrigações por Pagamentos Baseados em Ações;;
2.01.05.02.04;Aluguéis a pagar;24.749;69.990
2.01.05.02.05;Outras obrigações;93.594;79.383
2.01.05.02.06;Participações Estatutárias;0;8.294
2.01.05.02.07;Obrigações com Administradoras de Cartões;820.284;693.994
2.01.05.02.08;Instrumentos financeiros derivativos;0;14.516
2.01.05.02.09;Arrendamentos a pagar;384.657;0
2.01.06;Provisões;55.200;47.783
2.01.06.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;55.200;47.783
2.01.06.01.01;Provisões Fiscais;;
2.01.06.01.02;Provisões Previdenciárias e Trabalhistas;;
2.01.06.01.03;Provisões para Benefícios a Empregados;;
2.01.06.01.04;Provisões Cíveis;28.872;26.165
2.01.06.01.05;Provisões Trabalhistas;26.328;21.618
2.01.06.02;Outras Provisões;;
2.01.06.02.01;Provisões para Garantias;;
2.01.06.02.02;Provisões para Reestruturação;;
2.01.06.02.03;Provisões para Passivos Ambientais e de Desativação;;
2.01.07;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;;
2.01.07.01;Passivos sobre Ativos Não-Correntes a Venda;;
2.01.07.02;Passivos sobre Ativos de Operações Descontinuadas;;
2.02;Passivo Não Circulante;2.573.140;542.181
2.02.01;Empréstimos e Financiamentos;893.132;499.753
2.02.01.01;Empréstimos e Financiamentos;493.132;166.331
2.02.01.01.01;Em Moeda Nacional;307.653;27.303
2.02.01.01.02;Em Moeda Estrangeira;185.479;139.028
2.02.01.02;Debêntures;400.000;299.955
2.02.01.03;Financiamento por Arrendamento;0;33.467
2.02.02;Outras Obrigações;1.645.029;1.762
2.02.02.01;Passivos com Partes Relacionadas;;
2.02.02.01.01;Débitos com Coligadas;;
2.02.02.01.03;Débitos com Controladores;;
2.02.02.01.04;Débitos com Outras Partes Relacionadas;;
2.02.02.02;Outros;1.645.029;1.762
2.02.02.02.01;Obrigações por Pagamentos Baseados em Ações;;
2.02.02.02.02;Adiantamento para Futuro Aumento de Capital;;
2.02.02.02.04;Outras obrigações;25.705;1.762
2.02.02.02.05;Arrendamentos a pagar;1.619.324;0
2.02.03;Tributos Diferidos;3.644;11.214
2.02.03.01;Imposto de Renda e Contribuição Social Diferidos;3.644;11.214
2.02.04;Provisões;31.335;29.452
2.02.04.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;31.335;29.452
2.02.04.01.01;Provisões Fiscais;31.335;29.452
2.02.04.01.02;Provisões Previdenciárias e Trabalhistas;;
2.02.04.01.03;Provisões para Benefícios a Empregados;;
2.02.04.01.04;Provisões Cíveis;;
2.02.04.02;Outras Provisões;;
2.02.04.02.01;Provisões para Garantias;;
2.02.04.02.02;Provisões para Reestruturação;;
2.02.04.02.03;Provisões para Passivos Ambientais e de Desativação;;
2.02.05;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;;
2.02.05.01;Passivos sobre Ativos Não-Correntes a Venda;;
2.02.05.02;Passivos sobre Ativos de Operações Descontinuadas;;
2.02.06;Lucros e Receitas a Apropriar;;
2.02.06.01;Lucros a Apropriar;;
2.02.06.02;Receitas a Apropriar;;
2.02.06.03;Subvenções de Investimento a Apropriar;;
2.03;Patrimônio Líquido Consolidado;4.273.031;3.954.512
2.03.01;Capital Social Realizado;3.790.628;2.637.473
2.03.02;Reservas de Capital;29.717;79.557
2.03.02.01;Ágio na Emissão de Ações;;
2.03.02.02;Reserva Especial de Ágio na Incorporação;;
2.03.02.03;Alienação de Bônus de Subscrição;;
2.03.02.04;Opções Outorgadas;65.266;124.093
2.03.02.05;Ações em Tesouraria;-35.549;-44.536
2.03.02.06;Adiantamento para Futuro Aumento de Capital;;
2.03.03;Reservas de Reavaliação;;
2.03.04;Reservas de Lucros;50.695;1.235.334
2.03.04.01;Reserva Legal;0;87.641
2.03.04.02;Reserva Estatutária;;
2.03.04.03;Reserva para Contingências;;
2.03.04.04;Reserva de Lucros a Realizar;;
2.03.04.05;Reserva de Retenção de Lucros;;
2.03.04.06;Reserva Especial para Dividendos Não Distribuídos;;
2.03.04.07;Reserva de Incentivos Fiscais;0;56.540
2.03.04.08;Dividendo Adicional Proposto;0;144.639
2.03.04.09;Ações em Tesouraria;;
2.03.04.10;Reserva para Investimento e Expansão;50.695;946.514
2.03.05;Lucros/Prejuízos Acumulados;395.703;0
2.03.06;Ajustes de Avaliação Patrimonial;15.886;-2.412
2.03.07;Ajustes Acumulados de Conversão;-9.598;4.560
2.03.08;Outros Resultados Abrangentes;;
2.03.09;Participação dos Acionistas Não Controladores;;
